position;username;user_id;title;text;highlighs;link;location;address;latitude;longitude
60;djknkaltimtara;1.09e+18;Extordnry - Metaphor00;·. Dec 5, 2022. Our government only take off the license of wanaartha life..so what abt the law which gov provide ?no one help you when you feel suffer. 5.;['wanaartha life'];https://twitter.com/Extordnry;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
61;djasMpu;3192723644.0;Ryan setiawan (@xueyunxue1986) / X;Ryan setiawan's posts ... Suasana Duka Pada saat Meninggalnya Nasabah WanaArtha Life Deddy... ... Sosok Misterius Yang Bisikin Erick Thohir Soal Kerja Sat Sethttps ...;['WanaArtha Life'];https://twitter.com/xueyunxue1986;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
62;murezfah;1.09e+18;taPikir - Easy Going;Jun 10, 2023 · #sh*t $wskt lagi... bakalan auto 50 saat unlock. Terungkap, Auditor Waskita Karya Terlibat Skandal Wanaartha Life - Market · From ...;['Wanaartha Life'];https://twitter.com/taPikir;cianjurjawabarat;Cianjur, Jawa Barat;-6.824.096;1.071.374.006
63;KBernegara;1.13e+18;Rudy Limin;OJK Harus Segera Buka Blokir Rekening Efek WanaArtha Life - Tandatangani Petisi! https://t.co/JFIUe96tmz via @Change.;['WanaArtha Life'];https://twitter.com/rudylimin/status/1235614471994802179;Jepara;Jepara, Jawa Tengah;-65.906.502;1.106.673.202
64;demafebuin2019;4801790833.0;Alex Stefanus;Kl bpk2 @KejaksaanRI melakukan kasasi melawan pemegang polis Wanaartha Life yg tdk bersalah artinya Jaksa Agung & jajarannya membangkang ...;['Wanaartha Life'];https://twitter.com/alexstefanus/status/1447570125008236548;Bandung,JawaBarat;Bandung, Jawa Barat, 40252, Indonesia;-69.344.694;1.076.049.539
65;demafebuin2019;4801790833.0;wasiatkita;"1. wasiatkita · @wasiatkita. ·. Aug 31, 2017. Wasiatkita menjadi narasumber dalam gathering yang diadakan oleh Wanaartha life dengan topik. ""7kesalahan umum"".";['Wanaartha life'];https://twitter.com/wasiatkita;iNews Tower Lantai10;iNews Tower, Jalan Kebon Sirih Jakarta;-61.849.205;1.068.308.589
66;cagubnyinyir2;1.01e+18;Easy Going;#sh*t $wskt lagi... bakalan auto 50 saat unlock. Terungkap, Auditor Waskita Karya Terlibat Skandal Wanaartha Life - Market.;['Wanaartha Life'];https://twitter.com/taPikir/status/1667503751614312450;KotaYogyakarta,Yogyakarta;Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia;-78.011.945;110.364.917
67;KompasData;771030588.0;Subur Jaya Abadi Permai (@PermaiSubur) ...;Bola Salju Kasus Gagal Bayar Wanaartha Life, Bakal Berakhir Bangkrut dan Pailit? ... Teman2 seperjuangan para pemegang polis Wanaartha Life & teman2 yg ...;['Wanaartha Life', 'Wanaartha Life'];https://twitter.com/PermaiSubur;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
68;cahnewrock;192883709.0;"""17. Jadi, ingin kami katakan, nasabah Wanaartha Life ...";17. Jadi, ingin kami katakan, nasabah Wanaartha Life jangan mau dikadalin berkali kali oleh Direksi dan Pemilik Wanaartha.;['Wanaartha Life'];https://twitter.com/ChopShopkc1/status/1326832164046958592;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
69;DwikyPS;162393179.0;23. Kasus Jiwasraya, Kejagung Periksa Pemilik Asuransi ...;23. Kasus Jiwasraya, Kejagung Periksa Pemilik Asuransi WanaArtha Life.;['WanaArtha Life'];https://twitter.com/ChopShopkc1/status/1326832203175587842;Yogyakarta;Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia;-78.011.945;110.364.917
70;Goring28;1156254122.0;Polaris;WanaArtha Life Jadwalkan Pelaksanaan RUPSLB 4 Januari 2023 https://finansial.bisnis.com/read/20230101/215/1613833/wanaartha-life-jadwalkan ...;['WanaArtha Life', 'wanaartha-life'];https://twitter.com/polaroidblur77/status/1609602593952792577;Jakarta Barat, DKI Jakarta;Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia;-616.156.235;1.067.438.912
71;renandabachtar;74103498.0;Mutie Septianingsih;"""Silaturahim.."" WanaArtha Life terima kasih Pak nasihatnya, berkah kita semua @haikal_hassan @haikalbaras.";['WanaArtha Life'];https://twitter.com/MutieHaryanto/status/758601934320246785;Balikpapan,Indonesia;Balikpapan, Kalimantan Timur, 76128, Indonesia;-12.398.711;1.168.593.379
72;RifanAryanto;819993330.0;vitrieFebry - ipit;☺ · @vitriefebry. ·. Jul 20, 2016. Rabu kelabu. Tapi dapet cemilan sebanyak ini. Gajadi kelabu   (at Wanaartha Life Pondok Kelapa) [pic] — https://path.com/p/ ...;['Wanaartha Life'];https://twitter.com/vitriefebry;Bandung,JawaBarat;Bandung, Jawa Barat, 40252, Indonesia;-69.344.694;1.076.049.539
73;cagubnyinyir2;1.01e+18;168;... -tunggal-ojk-ratusan-nasabah-wanaartha-life-kawal-yudisial-review-uu-ppsk-di-mk/… Translate post. 12:16 AM · Jul 26, 2023. ·. 168. Views. 1. Repost.;['wanaartha-life'];https://twitter.com/machrilmachril1/status/1683994762419003392;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-618.233.995;1.068.428.715
74;KompasData;771030588.0;buyung86779669 - dody;PT Asuransi Jiwa Adisarana Wanaartha atau WanaArtha Life meluncurkan WanaArtha DPLK (Dana Pensiun Lembaga Keuangan).;['WanaArtha Life'];https://twitter.com/buyung86779669;Palmerah,Jakarta;Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia;-61.910.017;1.067.943.633
75;cahnewrock;192883709.0;"Lyn on X: ""Nasabah butuh duitt...."" / X";Nasabah Gagal Bayar WanaArtha Life Minta Direksi Baru Percepat Penyehatan Keuangan ...;['WanaArtha Life'];https://twitter.com/Lolypop502/status/1531950958972129280;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
76;DwikyPS;162393179.0;Hendri Kong;... ! @jokowi kembalikan uang kami @KejaksaanRI @ojkindonesia @PNjktpusat atau karma yang akan membalas derita 26ribu nasabah WanaArtha Life!;['WanaArtha Life'];https://twitter.com/hendrisamuel/status/1338870021930450944;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
77;renandabachtar;74103498.0;h3nd4r - Hendar Tusmin;... Bayar 2%. Nasabah PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life/WAL) buka suara soal hasil neraca sementara likuidasi (NSL) Wanaartha. 1. 2.;['Wanaartha Life'];https://twitter.com/h3nd4r;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
78;kholiq486;9.4e+17;Teenu C Jiriadana (@teenuchandra) ...;Teenu C Jiriadana's posts ... Terima kasih kepada Pak Yanes Y. Matulatuwa (President Director WanaArtha Life), Ibu Mitzi Ranti, Ibu Ellusi, dan Ibu Yenny.;['WanaArtha Life'];https://twitter.com/teenuchandra;Makassar,Indonesia;Makassar ????, Galesong Selatan, Sulawesi Selatan, 90115, Indonesia;-51.342.962;1.194.124.282
